item_id,category,item,evidence_status,quantity_evidence,camp_relevance,next_action,source_evidence,location
L14,Microscopy and lab,Small centrifuge-like devices,EXCLUDE,4 visible,not planned,"identify and keep out of camper kit",P17,prep room
L15,Microscopy and lab,Microwave drying oven and sterilization equipment,EXCLUDE,several devices visible,not planned,"instructor-controlled only",P11-P12; P18,prep room
L16,Microscopy and lab,HOBO or data-logger equipment,CHECK,multiple devices and boxes visible,optional,"confirm model battery software and research question",P17,prep room likely
T01,Technology,Computers and laptops,CHECK,several visible and confirmed,core,"reserve charge update and test offline",P05-P06; transcript; class inventory,A/B/C confirm
T02,Technology,iPads and tablets,CHECK,approximately 7-9 visible,core,"count working devices chargers and prepare paper backup",P05-P06; class inventory,A/B/C confirm
T03,Technology,DSLR or still camera,CHECK,at least 1 visible,support,"test battery memory date and cable",P08-P09,tech storage
T04,Technology,Camcorders and video cameras,CHECK,several visible,support,"test one complete kit",P08-P10,tech storage
T05,Technology,Blue USB microphone,CHECK,1 boxed unit visible,optional,"test recording and playback",P07,tech storage
T06,Technology,Chargers batteries adapters and cases,CHECK,many unmatched items visible,core,"build labeled complete kits",P05-P10,A/B/C confirm
T07,Technology,Portable projector screen,CHECK,1 visible,support,"confirm working display source",P04-P05,tech storage
T08,Technology,Label makers and small printers,CHECK,mentioned but exact stock unclear,support,"locate test and confirm consumables",transcript,tech storage
A01,Safety and access,Safety goggles,CHECK,dedicated storage confirmed,core,"count clean inspect and fit-check",P18; transcript,prep room
A02,Safety and access,Protective gloves,CHECK,present but sizes and quantity unknown,core,"confirm powder-free material sizes allergies and count",transcript,prep room
A03,Safety and access,Lab coats,CHECK,large labeled bin visible,support,"confirm material and contamination implications",P27,closet likely
A04,Safety and access,Boots and waders,CHECK,several pairs visible,optional,"confirm sizes sanitation mobility and need",P21; P24-P25; P29,closet likely
A05,Safety and access,Rolling carts and hand trucks,PRESENT,multiple visible,core,"reserve stable cart and seated coordinator route",P21; P26-P27,closet
A06,Safety and access,Hard equipment cases,PRESENT,at least 2 large cases visible,support,"verify contents before using storage space",P21; P26,closet
A07,Safety and access,Covered station bins,PREP,many lidded tubs visible,core,"build equivalent evidence kits for multiple access routes",P21; P23-P30,closet
C01,Teaching art and advocacy,Markers highlighters and writing tools,CHECK,multiple bins visible,core,"remove dried tools and provide varied grips and tips",P03,A/B/C confirm
C02,Teaching art and advocacy,Scissors,CHECK,several visible,core,"count left right or adaptive options",P03; P09-P10,A/B/C confirm
C03,Teaching art and advocacy,Post-it notes,CHECK,dedicated drawer but stock uncounted,core,"confirm quantity and avoid color-only coding",P03,classroom likely
C04,Teaching art and advocacy,Assorted tape,PRESENT,dedicated bin plus lab tapes,core,"separate science-clean from craft tape",P14; P28-P29,A/B/C confirm
C05,Teaching art and advocacy,Glue and adhesives,CHECK,mentioned but stock unclear,core,"confirm non-toxic low-odor options",transcript,A/B/C confirm
C06,Teaching art and advocacy,Clipboards,PRESENT,approximately 12+ visible,core,"reserve by team and attach pencils",P21; P26; P28,A/B/C confirm
C07,Teaching art and advocacy,Mini whiteboards,PRESENT,many large and small boards,core,"count erasers and working markers",P26; P28-P29; transcript,closet likely
C08,Teaching art and advocacy,Notebooks and folders,PRESENT,many visible,core,"reserve for campers and staff",P21; P28,A/B/C confirm
C09,Teaching art and advocacy,Kraft colored and bulletin-paper rolls,PRESENT,many rolls visible,core,"measure usable lengths and reserve",P22; P25; P27,closet
C10,Teaching art and advocacy,Cardboard tubes cardboard and recycled stock,PRESENT,many tubes and boxes visible,core,"inspect edges and prioritize reuse",P21-P23; P27,closet
C11,Teaching art and advocacy,Poster boards and display panels,CHECK,several visible,core,"confirm sizes and mounting method",P21; P27,closet
C12,Teaching art and advocacy,Laminating pouches,CHECK,one box labeled 100 at 5 mil,support,"confirm working laminator and size",P06,tech storage
C13,Teaching art and advocacy,Stickers badges trophies and clapperboard,PRESENT,multiple sets visible,optional,"use as optional recognition",P10,tech or office storage
C14,Teaching art and advocacy,STEM identity-category reference materials,PRESENT,one poster and routine described,optional,"confirm bead or badge consumables separately",P01; transcript,A/B/C confirm
C15,Teaching art and advocacy,Books and readers-theater materials,PRESENT,multiple visible,optional,"select only sources tied to camp question",P10; transcript,A/B/C confirm
G01,Purchase gate,Matching clean sample containers with lids,GAP,depends on S01-S02 physical count,core,"buy only if equivalent sets cannot be reserved",activity plan,A/B/C confirm
G02,Purchase gate,Protocol-matched filter paper,GAP,depends on L04 verification,core,"buy only if size grade or quantity fails",activity plan,prep room
G03,Purchase gate,Clean slides and coverslips if required,GAP,depends on L03 verification,core,"buy only if stock is unsafe or insufficient",activity plan,prep room
G04,Purchase gate,Powder-free gloves in multiple sizes,GAP,depends on A02 verification,core,"buy only if stock is unsuitable or insufficient",activity plan,prep room
G05,Purchase gate,Clean sample covers or aluminum foil,GAP,not confirmed,core,"confirm lids or purchase clean covers",activity plan,A/B/C confirm
G06,Purchase gate,Instructor-sealed tire-wear evidence or photographs,PREP,not safely confirmed,core,"prepare without camper tire sanding",activity plan,A/B/C confirm
G07,Purchase gate,Clear optical tape and labeling tape,GAP,depends on L06-L07 verification,core,"buy only if protocol test fails or stock is nearly empty",activity plan,A/B/C confirm
G08,Purchase gate,Low-odor non-toxic adhesives,GAP,depends on C05 verification,core,"buy only if safe accessible stock is absent",activity plan,A/B/C confirm
G09,Purchase gate,Beads cord safety pins or badge blanks,GAP,depends on identity routine decision,optional,"buy only if routine is adopted and consumables are absent",activity plan,A/B/C confirm
